




class_5 PathMinHeap
class_6 BirdPathNodeMaker
class_7 PathNodeType
class_8 PathNodeMaker
class_9 PathNode
class_10 NavigationType
class_11 Path
class_12 WaterPathNodeMaker
class_13 PathNodeNavigator
class_14 LandPathNodeMaker
class_15 AmphibiousPathNodeMaker

class_17 MapBannerMarker
class_18 PersistentState
class_19 MapFrameMarker
class_20 MapIcon
class_21 Type
class_22 MapState
class_23 PlayerUpdateTracker


class_26 PersistentStateManager
class_27 UnmodifiableLevelProperties

class_29 WorldSaveHandler

class_31 LevelProperties
class_32 LevelStorage
class_33 LevelStorageException
class_34 LevelSummary




class_39 LootTables
class_40 BinomialLootNumberProvider
class_41 Serializer
class_42 BoundedIntUnaryOperator

class_44 ConstantLootNumberProvider

class_46 LootContextAware
class_47 LootContext
class_48 Builder
class_49 Dropper
class_50 EntityTarget
class_51 Serializer
class_52 LootTable
class_53 Builder
class_54 Serializer
class_55 LootPool
class_56 Builder
class_57 Serializer
class_58 LootTableReporter

class_60 LootManager

class_62 Serializer

class_64 EntryCombiner
class_65 AlternativeEntry
class_66 Builder
class_67 DynamicEntry
class_68 Serializer
class_69 CombinedEntry
class_70 Factory

class_72 SequenceEntry
class_73 EmptyEntry
class_74 Serializer
class_75 LootPoolEntryTypes

class_77 ItemEntry
class_78 Serializer
class_79 LootPoolEntry
class_80 Builder

class_82 LootChoice
class_83 LootTableEntry
class_84 Serializer
class_85 LeafEntry
class_86 Builder
class_87 BasicBuilder
class_88 Choice
class_89 Factory
class_90 Serializer
class_91 TagEntry
class_92 Serializer
class_93 GroupEntry
class_94 ApplyBonusLootFunction
class_95 BinomialWithBonusCount
class_96 Formula
class_97 FormulaFactory
class_98 OreDrops
class_99 Serializer
class_100 UniformBonusCount
class_101 CopyNameLootFunction
class_102 Source
class_103 Serializer
class_104 ExplosionDecayLootFunction
class_105 Serializer
class_106 EnchantWithLevelsLootFunction
class_107 Builder
class_108 Serializer
class_109 EnchantRandomlyLootFunction
class_110 Serializer
class_111 ExplorationMapLootFunction
class_112 Builder
class_113 Serializer
class_114 LimitCountLootFunction
class_115 Serializer
class_116 LootFunctionConsumingBuilder
class_117 LootFunction
class_118 Builder

class_120 ConditionalLootFunction
class_121 Builder
class_122 Joiner
class_123 Serializer
class_124 Formatting
class_125 LootingEnchantLootFunction
class_126 Builder
class_127 Serializer
class_128 CrashReport
class_129 CrashReportSection
class_130 Element
class_131 LootFunctionTypes

class_133 CrashCallable
class_134 SetContentsLootFunction
class_135 Builder
class_136 Serializer
class_137 SetAttributesLootFunction
class_138 Attribute
class_139 Serializer
class_140 UncaughtExceptionLogger
class_141 SetCountLootFunction
class_142 Serializer
class_143 UncaughtExceptionHandler
class_144 SetLootTableLootFunction
class_145 Serializer

class_147 Serializer
class_148 CrashException
class_149 SetDamageLootFunction
class_150 Serializer
class_151 InvalidIdentifierException
class_152 SetStewEffectLootFunction
class_153 Builder
class_154 Serializer
class_155 SharedConstants
class_156 Util
class_157 IdentityHashStrategy
class_158 OperatingSystem
class_159 SetNbtLootFunction
class_160 Serializer
class_161 Advancement
class_162 Builder
class_163 AdvancementManager
class_164 Listener
class_165 FurnaceSmeltLootFunction

class_167 AdvancementProgress
class_168 Serializer
class_169 LootContextParameter
class_170 AdvancementRewards
class_171 Builder

class_173 LootContextTypes
class_174 Criteria
class_175 AdvancementCriterion
class_176 LootContextType
class_177 Builder
class_178 CriterionProgress
class_179 Criterion
class_180 ConditionsContainer
